text,polarity,subjectivity
RT @MLBHR: Dominic Smith - New York Mets (2) Solo,0.13636363636363635,0.45454545454545453
"RT @jjoep23: Twitter groupchats really be 38 people from Cali, 5 from Texas, 2  from New York, and some random nigga from London",-0.05454545454545454,0.38484848484848483
"RT @JaniceDean: They are hiding the numbers. The end. 

“Cuomo, Health Dept. at odds over total New York COVID-19 deaths.” https://t.co/wXO…",0.06818181818181818,0.6022727272727273
"@notkevinForReal Cases or deaths? CA, FL, TX, are all doing worse than New York actually.",-0.08787878787878789,0.38484848484848483
"RT @realDonaldTrump: Just like Radical Left New York is trying to destroy the NRA, if Biden becomes President your GREAT SECOND AMENDMENT d…",0.14727272727272728,0.2409090909090909
RT @MarkSimoneNY: It's now clear to everyone that totally incompetent New York City Mayor Bill De Blasio MUST be removed from office. He ha…,-0.037878787878787866,0.40151515151515155
"RT @jentaub: Nevertheless they persisted. Brava @ejeancarroll and @kaplanrobbie 

“Trump can’t stall a defamation lawsuit filed by a New Yo…",0.13636363636363635,0.45454545454545453
"RT @jjoep23: Twitter groupchats really be 38 people from Cali, 5 from Texas, 2  from New York, and some random nigga from London",-0.05454545454545454,0.38484848484848483
RT @EmeraldRobinson: One reason that Gov. Cuomo and Sen. Schumer suddenly want to re-open New York schools: the massive exodus of NY taxpay…,0.04545454545454545,0.6515151515151515
"RT @jjoep23: Twitter groupchats really be 38 people from Cali, 5 from Texas, 2  from New York, and some random nigga from London",-0.05454545454545454,0.38484848484848483
@nytimes Boycott the new York times,0.13636363636363635,0.45454545454545453
"RT @CBSNews: AGE IS JUSTT A NUMBER: 76-year-old Jeffrey Miller just proposed to his girlfriend, 71-year-old Gloria Alexis, at their senior…",0.0,0.0
